주차장코드	주차장명	주소	주차장 종류	주차장 종류명	운영구분	운영구분명	전화번호	주차현황 정보 제공여부	주차현황 정보 제공여부명	주차 면(주차 가능 차량 수)	현재 주차중인 대수	현재 주차 차량 업데이트 시간	유무료구분	유무료구분명	야간무료개방여부	야간무료개방여부명	평일 운영 시작시각(HHMM)	평일 운영 종료시각(HHMM)	주말 운영 시작시각(HHMM)	주말 운영 종료시각(HHMM)	공휴일 운영 시작시각(HHMM)	공휴일 운영 종료시각(HHMM)	최종데이터 동기화 시간	"토요일 유,무료 구분"	"토요일 유,무료 구분명"	"공휴일 유,무료 구분"	"공휴일 유,무료 구분명"	월 정기권 금액	노상 주차장 관리그룹번호	기본 주차 요금	기본 주차 시간(분 단위)	추가 단위 요금	추가 단위 시간(분 단위)	버스 기본 주차 요금	버스 기본 주차 시간(분 단위)	버스 추가 단위 시간(분 단위)	버스 추가 단위 요금	일 최대 요금
1042423	개포로24길33(구)	강남구 개포동 1204-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	36	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 11:10	Y	유료	Y	유료	120000		200	5	200	5	0	0	0	0	18000
173389	구룡산2(구)	강남구 개포동 126-2	NW	노외 주차장	1	시간제 주차장		0	미연계중	124	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-09-14 19:19	Y	유료	Y	유료	120000		200	5	200	5	0	0	0	0	18000
1040225	논현로22길(구)	강남구 개포동 1266-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	100	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 11:10	Y	유료	Y	유료	120000		200	5	200	5	0	0	0	0	18000
1033754	포이초교(구)	강남구 개포동 1273-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	194	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:12	N	무료	N	무료	120000		200	5	200	5	0	0	0	0	18000
173472	대청역(구)	강남구 개포동 13-2	NW	노외 주차장	1	시간제 주차장		0	미연계중	169	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:15	N	무료	N	무료	70000		100	5	100	5	0	0	0	0	12000
173468	개포동공원(구)	강남구 개포동 183-2	NW	노외 주차장	1	시간제 주차장		0	미연계중	149	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:12	N	무료	N	무료	120000		200	5	200	5	0	0	0	0	18000
173474	구룡산1(구)	강남구 개포동 567-25	NW	노외 주차장	1	시간제 주차장	02-577-2099	0	미연계중	94	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 11:08	Y	유료	Y	유료	120000		200	5	200	5	0	0	0	0	18000
1042410	논현초교(구)	강남구 논현동 168-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	192	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:05	N	무료	N	무료	180000		300	5	300	5	0	0	0	0	25000
1496212	영동6교밑(시)	강남구 대치동 512-1	NS	노상 주차장	1	시간제 주차장	02-445-0501	0	미연계중	39	0	2018-01-12 16:05	Y	유료	N	야간 미개방	900	1900	900	1700	900	1700	2017-03-17 15:25	N	무료	N	무료	0	1.16801E+12	150	5	150	5	0	0	0	0	0
1366600	학여울역 환승주차장(시)	강남구 대치동 514-1	NW	노외 주차장	1	시간제 주차장	02-569-7741	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	182	113	2018-01-15 9:15	Y	유료	N	야간 미개방	500	100	500	100	500	100	2017-09-30 23:36	N	무료	N	무료	100000		150	5	150	5	0	0	0	0	0
1441342	도곡초교(구)	강남구 대치동 924-10	NW	노외 주차장	1	시간제 주차장	02-501-5921	0	미연계중	200	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:06	N	무료	N	무료	180000		300	5	300	5	0	0	0	0	25000
173447	도곡로 421(구)	강남구 대치동 939-21	NW	노외 주차장	1	시간제 주차장		0	미연계중	29	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 10:48	Y	유료	Y	유료	280000		400	5	400	5	0	0	0	0	30000
173359	대치2문화센터(구)	강남구 대치동 980-9	NW	노외 주차장	1	시간제 주차장		0	미연계중	159	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:00	N	무료	N	무료	180000		300	5	300	5	0	0	0	0	25000
173440	논현로32길15(구)	강남구 도곡동 516-2	NW	노외 주차장	1	시간제 주차장		0	미연계중	21	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 10:58	Y	유료	Y	유료	180000		300	5	300	5	0	0	0	0	25000
1042421	언주초교(구)	강남구 도곡동 922-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	191	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:13	N	무료	N	무료	120000		200	5	200	5	0	0	0	0	18000
173534	치매지원센터(구)	강남구 삼성동 113-26	NW	노외 주차장	1	시간제 주차장		0	미연계중	115	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 10:54	N	무료	N	무료	280000		400	5	400	5	0	0	0	0	30000
1042406	삼성1동 문화센터(구)	강남구 삼성동 161-2	NW	노외 주차장	1	시간제 주차장		0	미연계중	67	0		Y	유료	N	야간 미개방	700	2200	0	0	0	0	2017-06-05 10:53	Y	유료	Y	유료	280000		400	5	400	5	0	0	0	0	30000
173437	탄천주차장(구)	강남구 삼성동 171-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	987	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:15	N	무료	N	무료	70000		100	5	100	5	0	0	0	0	12000
1441361	대왕초교(구)	강남구 세곡동 517-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	100	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 11:19	Y	유료	Y	유료	70000		100	5	100	5	0	0	0	0	12000
1374090	수서역남 환승주차장(시)	강남구 수서동 727-0	NW	노외 주차장	1	시간제 주차장	02-2226-6404	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	81	81	2018-01-15 9:16	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-09-30 23:35	N	무료	N	무료	120000		250	5	250	5	0	0	0	0	0
173553	수서역북 환승주차장(시)	강남구 수서동 735-0	NW	노외 주차장	1	시간제 주차장	02-2226-6404	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	570	298	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-09-30 23:34	N	무료	N	무료	120000		250	5	250	5	0	0	0	0	
1441353	신구초교(구)	강남구 신사동 550-11	NW	노외 주차장	1	시간제 주차장	02-540-6149	0	미연계중	194	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:06	N	무료	N	무료	180000		300	5	300	5	0	0	0	0	25000
1441370	32공영주차장(구)	강남구 신사동 564-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	26	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 10:49	Y	유료	Y	유료	280000		400	5	400	5	0	0	0	0	30000
1496450	압구정고가2(시)	강남구 신사동 668-0	NS	노상 주차장	1	시간제 주차장	02-445-0501	0	미연계중	18	0	2018-01-05 21:01	Y	유료	N	야간 미개방	900	2000	900	2100	900	2100	2017-03-17 15:14	N	무료	N	무료	0	1.16801E+12	500	5	500	5	0	0	0	0	0
1496444	압구정고가1(시)	강남구 신사동 668-0	NS	노상 주차장	1	시간제 주차장	02-445-0501	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	21	2	2018-01-15 9:15	Y	유료	N	야간 미개방	900	2000	900	2100	900	2100	2017-03-17 15:06	N	무료	N	무료	0	1.16801E+12	500	5	500	5	0	0	0	0	0
1033125	강남관광정보센터-공영주차장(구)	강남구 압구정동 428-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	360	0		Y	유료	N	야간 미개방	900	2100	900	2100	900	2100	2017-10-20 17:02	N	무료	N	무료	200000		400	5	400	5	0	0	0	0	
