관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 용산구청,서울특별시 용산구 신흥로2길 68,서울특별시 용산구 용산동2가 47-3,생활방범,2,130,연립아파트 앞,30,Mar-16,02-2199-6662,37.559223,126.969176,2016-09-27
서울특별시 용산구청,서울특별시 용산구 소월로20길 43,서울특별시 용산구 용산동2가 31번지,생활방범,2,130,해방교회앞,30,Oct-16,02-2199-6662,37.55701,126.971088,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로 90,서울특별시 용산구 용산동2가 11-13,차량방범,3,41,동주민센터 화단앞,30,Feb-16,02-2199-6662,37.546079,126.985583,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로18길 11,서울특별시 용산구 용산동2가 11-6,생활방범,2,130,소월길 출입계단 앞,30,Feb-16,02-2199-6662,37.557828,126.972958,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로29길 22,서울특별시 용산구 용산동2가 9-12,생활방범,2,130,주택앞,30,Feb-16,02-2199-6662,37.553411,126.970925,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로7길 50,서울특별시 용산구 용산2가동 32번지,생활방범,2,200,주택 앞,30,Mar-16,02-2199-6662,37.557149,126.970145,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로26길 21-3,서울특별시 용산구 용산동2가 1-1485,생활방범,1,130,해오름빌정문앞,30,Feb-16,02-2199-6662,37.556051,126.972357,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로26길 21-3,서울특별시 용산구 용산2가동 5-1451,어린이보호,3,130,용암초등학교,30,Dec-16,02-2199-6662,37.559775,126.972704,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로20길 9,서울특별시 용산구 용산2가동 1-575,생활방범,2,130,대박부동산 앞,30,Sep-16,02-2199-6662,37.546359,126.984774,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로 11길 13,서울특별시 용산구 용산동2가 29-3,생활방범,3,130,주택 앞,30,Sep-16,02-2199-6662,37.543424,126.987044,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로140-1,서울특별시 용산구 용산동2가 1-448,생활방범,3,200,대지부동산 골목,30,Feb-16,02-2199-6662,37.545763,126.981827,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로102가길 5,서울특별시 용산구 갈월동 6-11,생활방범,2,130,대동슈퍼 앞,30,Feb-16,02-2199-6662,37.547406,126.976713,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로98가길 25,서울특별시 용산구 갈월동 7-15,생활방범,1,130,아크로빌 앞,30,Feb-16,02-2199-6662,37.547818,126.97451,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로96길 26,서울특별시 용산구 갈월동 7-69,생활방범,1,41,아로마빌리지 옆,30,Feb-16,02-2199-6662,37.547331,126.974113,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로96길 26,서울특별시 용산구 갈월동 59-14,생활방범,2,200,으뜸부동산 옆,30,Feb-16,02-2199-6662,37.547443,126.972112,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로57길 26,서울특별시 용산구 동자동 17-3,생활방범,2,200,새꿈공원 앞,30,Feb-16,02-2199-6662,37.547546,126.980478,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로57길 51-1,서울특별시 용산구 동자동 35-142,생활방범,2,41,미니마트앞,30,Jul-16,02-2199-6662,37.547924,126.979086,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로49길 24,서울특별시 용산구 동자동 7-29,생활방범,2,130,삼익빌라 앞,30,Aug-16,02-2199-6662,37.54876,126.980621,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로104마길 43,서울특별시 용산구 동자동 19-87,생활방범,2,130,계단 위,30,Aug-16,02-2199-6662,37.548456,126.979777,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로 283,서울특별시 용산구 갈원동 87-5,차량방범,2,41,랜드로바 앞,30,Jun-16,02-2199-6662,37.543442,126.971972,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로104다길 19,서울특별시 용산구 동자동 21-6,생활방범,2,130,후암서부제일아파트 뒤,30,Mar-16,02-2199-6662,37.54864,126.977349,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로96길 11,서울특별시 용산구 갈월동 7-54,생활방범,3,130,공중전화기옆,30,Oct-16,02-2199-6662,37.546887,126.974804,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로96길 11,서울특별시 용산구 동자동 11-14,생활방범,2,41,쪽방지역 내 덕성장 앞,30,Feb-16,02-2199-6662,37.548049,126.981612,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로57길 26,서울특별시 용산구 동자동 17-3,생활방범,1,41,새꿈공원 앞(공원 상단부),30,Oct-16,02-2199-6662,37.552399,126.973622,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로57길 26,서울특별시 용산구 동자동 17-3,생활방범,1,41,새꿈공원 앞(공원 하단부 입구 주변),30,Oct-16,02-2199-6662,37.552399,126.973622,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로372,서울특별시 용산구 동자동 45,생활방범,1,130,센트리빌인근공원,30,Jul-16,02-2199-6662,37.551482,126.97357,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로372,서울특별시 용산구 동자동 45,생활방범,1,130,센트리빌인근공원,30,Jul-16,02-2199-6662,37.551482,126.97357,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로372,서울특별시 용산구 동자동 45,생활방범,1,130,센트리빌인근공원,30,Jul-16,02-2199-6662,37.551482,126.97357,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로84길 11,서울특별시 용산구 남영동 35-2,생활방범,3,130,상가밀집지역(남영해물탕앞),30,Nov-16,02-2199-6662,37.54752,126.969948,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로77길 10,서울특별시 용산구 갈월동 93-29,생활방범,3,130,남영지하철 롯데마켓앞,30,Feb-16,02-2199-6662,37.546366,126.967979,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로 92길 19,서울특별시 용산구 갈월동 34-16,생활방범,2,130,골목길,30,Sep-16,02-2199-6662,37.546142,126.973055,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 406-80,생활방범,1,41,후암어린이 공원,30,Jan-16,02-2199-6662,37.547216,126.983717,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로 58-1,서울특별시 용산구 후암동 22,생활방범,2,130,우체국 뒤,30,Aug-16,02-2199-6662,37.550278,126.979162,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로 125,서울특별시 용산구 후암동 336-11,생활방범,2,130,대림하이츠타운 앞,30,Aug-16,02-2199-6662,37.553824,126.977761,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로28다길 8,서울특별시 용산구 후암동 55-13,생활방범,2,130,미플러스빌 옆 전주,30,Aug-16,02-2199-6662,37.552276,126.977393,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로28다길 8,서울특별시 용산구 후암동 412-7,생활방범,2,130,고지대 난간 옆 전주,30,Aug-16,02-2199-6662,37.554924,126.974475,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로102다길 33,서울특별시 용산구 후암동 141-9,생활방범,2,130,후암빌라 앞,30,Aug-16,02-2199-6662,37.548735,126.975372,2016-09-27
서울특별시 용산구청,서울특별시 용산구 소월로2다길 2,서울특별시 용산구 후암동 448-156,생활방범,2,130,혜심원 주변,30,Aug-16,02-2199-6662,37.550789,126.982109,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로104라길 39,서울특별시 용산구 후암동 117-1,생활방범,3,130,소비자유통 앞,30,Aug-16,02-2199-6662,37.54961,126.976046,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로 71-2,서울특별시 용산구 후암동 96,생활방범,2,130,미주아파트 입구,30,Aug-16,02-2199-6662,37.550027,126.979963,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,어린이보호,2,130,새나라어린이공원 앞,30,Dec-16,02-2199-6662,37.54997,126.975251,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로13가길 2,서울특별시 용산구 후암동 238-11,어린이보호,1,130,삼광초교 후문 바로앞,30,Dec-16,02-2199-6662,37.550701,126.97489,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로 160,서울특별시 용산구 후암동 30-90,어린이보호,1,130,용산도서관 앞,30,Dec-16,02-2199-6662,37.552675,126.980195,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로 160,서울특별시 용산구 후암동 339-23,어린이보호,1,130,후암초교 후문 앞,30,Dec-16,02-2199-6662,37.554917,126.978528,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로1나길 28-1,서울특별시 용산구 후암동 192-9,어린이보호,2,130,주택 앞,30,Dec-16,02-2199-6662,37.550502,126.973555,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로60길 41,서울특별시 용산구 후암동 358-13,어린이보호,1,130,주택 앞,30,Dec-16,02-2199-6662,37.555325,126.977341,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로 107,서울특별시 용산구 후암동 399-6,생활방범,3,130,영락보린원 뒷골목,30,Mar-16,02-2199-6662,37.554268,126.976197,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로 152,서울특별시 용산구 후암동 418-13,차량방범,1,41,후암동 버스종점,30,Feb-16,02-2199-6662,37.546848,126.981415,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로28길 10,서울특별시 용산구 후암동 244-86,생활방범,2,130,신후암맨션앞,30,Mar-16,02-2199-6662,37.550935,126.977569,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로4길 28,서울특별시 용산구 후암동 254-12,생활방범,2,130,(주택 앞),30,Oct-16,02-2199-6662,37.552507,126.974127,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로4길 28,서울특별시 용산구 후암동 101-13,생활방범,2,130,골목길,30,Oct-16,02-2199-6662,37.549498,126.97833,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로34가길 12,서울특별시 용산구 후암동 60-35,생활방범,1,41,노바펠리스 앞,30,Feb-16,02-2199-6662,37.550788,126.978281,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로69길 26,서울특별시 용산구 후암동 44-56,생활방범,3,130,컴퓨터 세탁 앞(동원사),30,Feb-16,02-2199-6662,37.552481,126.979008,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로98다길 4,서울특별시 용산구 후암동 143-11,생활방범,2,130,주택 삼거리,30,Feb-16,02-2199-6662,37.547618,126.975327,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로58길 48,서울특별시 용산구 후암동400-39,생활방범,2,130,새말경로당앞,30,Feb-16,02-2199-6662,37.555175,126.97601,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로 47,서울특별시 용산구 후암동 105-3,차량방범,3,41,후암시장입구,30,Dec-16,02-2199-6662,37.550059,126.977134,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로40길 4,서울특별시 용산구 후암동 7-2,생활방범,1,130,거주자우선주차지역,30,Feb-16,02-2199-6662,37.55049,126.979835,2016-09-27
서울특별시 용산구청,서울특별시 용산구 두텁바위로 145-3,서울특별시 용산구 후암동 43-29,어린이보호,2,130,후암초교 정문 앞,30,Feb-16,02-2199-6662,37.553597,126.979778,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로36가길 11,서울특별시 용산구 후암동 409-136,생활방범,4,130,골목안쪽,30,Nov-16,02-2199-6662,37.55499,126.973565,2016-09-27
서울특별시 용산구청,서울특별시 용산구 신흥로36가길 11,서울특별시 용산구 후암동 366-38,어린이보호,1,130,후암초등학교,30,Dec-16,02-2199-6662,37.553252,126.978307,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로34길 31-16,서울특별시 용산구 후암동 30-22,어린이보호,1,130,복자유치원,30,Dec-16,02-2199-6662,37.551327,126.980453,2016-09-27
서울특별시 용산구청,서울특별시 용산구 후암로34길 31-16,서울특별시 용산구 후암동,어린이보호,2,130,삼광초등학교,30,Dec-16,02-2199-6662,37.551135,126.97356,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로 104길51,서울특별시 용산구 동자동 19-45,생활방범,1,130,남영빌딩 앞,30,Sep-16,02-2199-6662,37.550601,126.97496,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로 84길 14,서울특별시 용산구 남영동 59-2,생활방범,4,200,미성회관 옆 사거리,30,Feb-16,02-2199-6662,37.54362,126.973402,2016-09-27
서울특별시 용산구청,서울특별시 용산구 한강대로 84길 14,서울특별시 용산구 동자동 24-11,생활방범,4,200,동자어린이공원,30,Feb-16,02-2199-6662,37.550144,126.973846,2016-09-27
서울특별시 용산구청,서울특별시 용산구 청파로83길 34,서울특별시 용산구 서계동 33-265,생활방범,2,200,청파중앙교회 옆,30,Feb-16,02-2199-6662,37.542781,126.979435,2016-09-27
서울특별시 용산구청,서울특별시 용산구 청파로89길 4-12,서울특별시 용산구 서계동 226-3,생활방범,2,41,청파어린이공원 입구,30,Feb-16,02-2199-6662,37.543525,126.981972,2016-09-27
서울특별시 용산구청,서울특별시 용산구 청파로93길 49-29,서울특별시 용산구 서계동 234-16,생활방범,3,130,제일빌딩 옆,30,Feb-16,02-2199-6662,37.541766,126.981476,2016-09-27
